cameo_root,cameo_label,commodity,lag_days,pearson_r,pearson_p,spearman_r,spearman_p
12,Reject,GC=F,10,-0.008002778819250742,0.7205179522744274,-0.020838593947596105,0.35150094855515446
12,Reject,GC=F,20,-0.002550864523182768,0.9094134083857414,-0.027373402474247174,0.22201525447715095
12,Reject,ZW=F,0,-0.020929442260914345,0.3523147014267571,-0.021849860255117155,0.3315373039424879
12,Reject,ZW=F,1,-0.006737101235971534,0.7646586435020168,-0.015040134471033978,0.5039093139444522
12,Reject,ZW=F,5,0.007158099859026896,0.7504267376677783,0.007880434191514666,0.7262071688764568
12,Reject,ZW=F,10,0.010961795665393572,0.6261833364867364,0.01874291133049022,0.40488932467162064
12,Reject,ZW=F,20,-0.004100361896337629,0.8557506350026188,-0.012691154356448065,0.5736583928968205
13,Threaten,CL=F,0,0.014890776530636595,0.5140127149795988,-0.0170200968319418,0.4557070321812232
13,Threaten,CL=F,1,0.019755662385974992,0.3865740865047614,0.024056526038859872,0.2917025678638698
13,Threaten,CL=F,5,0.02660806180832326,0.2435072583804416,-0.009231034227398781,0.6858120355657018
13,Threaten,CL=F,10,0.014512087763598906,0.5247737376623606,0.002677034114923803,0.9066086617519047
13,Threaten,CL=F,20,-0.0022813313132964584,0.9205702340520429,0.007957643450707343,0.7279691550739943
13,Threaten,GC=F,0,-0.005106093891573377,0.819438440852784,-0.02644318725743641,0.23707141874922208
13,Threaten,GC=F,1,0.010325995485272951,0.64434548244685,0.029083815745380482,0.19344505539456952
13,Threaten,GC=F,5,-0.013750156062193684,0.538736940519513,0.009120189409211547,0.6834772140884857
13,Threaten,GC=F,10,0.01540920195541165,0.49088437336088525,0.025530590857991555,0.2536533582624755
13,Threaten,GC=F,20,0.01746759410049199,0.4359886203064385,0.0048620195493147755,0.8283553436193285
13,Threaten,ZW=F,0,0.020827644155800608,0.3546622168611965,0.015675436518054496,0.4860617588160727
13,Threaten,ZW=F,1,-0.017672720452131647,0.4322455768680877,-0.007746858771568455,0.7306661616394059
13,Threaten,ZW=F,5,0.01782158360690384,0.4283775016391378,0.031169114460512338,0.16594638954991298
13,Threaten,ZW=F,10,-0.03343253133550526,0.13727871822501456,0.012152301539074551,0.589188981302843
13,Threaten,ZW=F,20,-0.06188381495717226,0.006042094272929106,0.0020702511965961963,0.9268893752404181
14,Protest,CL=F,0,0.021202538290345914,0.3527470468408701,0.008384874685501236,0.7132751013866991
14,Protest,CL=F,1,0.014792565742940245,0.5167924680200763,-0.010923873150441323,0.632125916740218
14,Protest,CL=F,5,-0.031629229441955446,0.16560931314656885,-0.03264539190952847,0.15242532182547194
14,Protest,CL=F,10,-0.05006395044764791,0.028138161831962157,-0.034276360729013876,0.13295462270499195
14,Protest,CL=F,20,-0.0008304315604931358,0.9710375208055194,-0.0019964920075591247,0.930442492445627
14,Protest,GC=F,0,-0.015276666038486694,0.4946214445189826,-0.030267531872248798,0.17592546120711824
14,Protest,GC=F,1,-0.022812756509745954,0.307743837641845,-0.02622165911295359,0.2410244556616341
14,Protest,GC=F,5,-0.005295756715935086,0.8128536332744514,-0.033712202185088455,0.13167779263433
